basisMode,attack,meanBlockF1,meanBlockIoU,meanBlockFpr,meanBlockFnr,meanBlockRecall
fisher,center_mean,0.963651,0.935417,0.000441,0.00625,0.99375
fisher,copy_move,0.967222,0.941667,0.000441,0.0,1.0
fisher,constant_average_block,0.958036,0.9275,0.00044,0.0,1.0
fisher,inter_block_substitution,0.933333,0.891667,0.000439,0.0125,0.9875
smallest,center_mean,0.953598,0.919286,0.000585,0.00625,0.99375
smallest,copy_move,0.957071,0.924286,0.000585,0.0,1.0
smallest,constant_average_block,0.945238,0.90625,0.000584,0.0,1.0
smallest,inter_block_substitution,0.915952,0.864167,0.000583,0.0125,0.9875
random,center_mean,0.945722,0.904702,0.00065,0.00625,0.99375
random,copy_move,0.949293,0.910952,0.00065,0.0,1.0
random,constant_average_block,0.935417,0.89,0.000649,0.0,1.0
random,inter_block_substitution,0.910952,0.855833,0.000648,0.0,1.0
fixed,center_mean,0.944861,0.903333,0.000634,0.00625,0.99375
fixed,copy_move,0.948333,0.908333,0.000634,0.0,1.0
fixed,constant_average_block,0.933929,0.88625,0.000633,0.0,1.0
fixed,inter_block_substitution,0.9,0.8375,0.000632,0.0125,0.9875
identity_cost,center_mean,0.952083,0.915,0.000551,0.00625,0.99375
identity_cost,copy_move,0.955556,0.92,0.000551,0.0,1.0
identity_cost,constant_average_block,0.942857,0.9,0.000551,0.0,1.0
identity_cost,inter_block_substitution,0.911667,0.854167,0.00055,0.0125,0.9875
