basisMode,attack,meanBlockF1,meanBlockIoU,meanBlockFpr,meanBlockFnr,meanBlockRecall
fisher,center_mean,0.963651,0.935417,0.000441,0.00625,0.99375
fisher,copy_move,0.967222,0.941667,0.000441,0.0,1.0
fisher,constant_average_block,0.958036,0.9275,0.00044,0.0,1.0
fisher,inter_block_substitution,0.933333,0.891667,0.000439,0.0125,0.9875
fisher,non_aligned_patch,0.9926,0.985648,0.000455,0.002917,0.997083
fisher,channel_jpeg_q90,0.996284,0.992604,0.0,0.007396,0.992604
fisher,channel_blur_sigma0_6,0.986527,0.973872,0.0,0.026128,0.973872
fisher,channel_resize_roundtrip,0.991773,0.983776,0.0,0.016224,0.983776
smallest,center_mean,0.953598,0.919286,0.000585,0.00625,0.99375
smallest,copy_move,0.957071,0.924286,0.000585,0.0,1.0
smallest,constant_average_block,0.945238,0.90625,0.000584,0.0,1.0
smallest,inter_block_substitution,0.915952,0.864167,0.000583,0.0125,0.9875
smallest,non_aligned_patch,0.991141,0.982942,0.000557,0.002917,0.997083
smallest,channel_jpeg_q90,0.996437,0.992906,0.0,0.007094,0.992906
smallest,channel_blur_sigma0_6,0.986233,0.973303,0.0,0.026697,0.973303
smallest,channel_resize_roundtrip,0.992312,0.984829,0.0,0.015171,0.984829
random,center_mean,0.945722,0.904702,0.00065,0.00625,0.99375
random,copy_move,0.949293,0.910952,0.00065,0.0,1.0
random,constant_average_block,0.935417,0.89,0.000649,0.0,1.0
random,inter_block_substitution,0.910952,0.855833,0.000648,0.0,1.0
random,non_aligned_patch,0.989549,0.979677,0.000554,0.006528,0.993472
random,channel_jpeg_q90,0.996247,0.992527,0.0,0.007473,0.992527
random,channel_blur_sigma0_6,0.985685,0.972325,0.0,0.027675,0.972325
random,channel_resize_roundtrip,0.989983,0.980324,0.0,0.019676,0.980324
fixed,center_mean,0.944861,0.903333,0.000634,0.00625,0.99375
fixed,copy_move,0.948333,0.908333,0.000634,0.0,1.0
fixed,constant_average_block,0.933929,0.88625,0.000633,0.0,1.0
fixed,inter_block_substitution,0.9,0.8375,0.000632,0.0125,0.9875
fixed,non_aligned_patch,0.990377,0.981245,0.000654,0.001944,0.998056
fixed,channel_jpeg_q90,0.99637,0.992777,0.0,0.007223,0.992777
fixed,channel_blur_sigma0_6,0.984087,0.969291,0.0,0.030709,0.969291
fixed,channel_resize_roundtrip,0.988983,0.978403,0.0,0.021597,0.978403
identity_cost,center_mean,0.952083,0.915,0.000551,0.00625,0.99375
identity_cost,copy_move,0.955556,0.92,0.000551,0.0,1.0
identity_cost,constant_average_block,0.942857,0.9,0.000551,0.0,1.0
identity_cost,inter_block_substitution,0.911667,0.854167,0.00055,0.0125,0.9875
identity_cost,non_aligned_patch,0.990575,0.981583,0.000569,0.00375,0.99625
identity_cost,channel_jpeg_q90,0.949714,0.905751,0.0,0.094249,0.905751
identity_cost,channel_blur_sigma0_6,0.93063,0.880906,0.0,0.119094,0.880906
identity_cost,channel_resize_roundtrip,0.933115,0.880649,0.0,0.119351,0.880649
