baseline,attack,deltaFisherMinusBaseline,ci95Low,ci95High,pairedSignFlipP,favorablePairs,unfavorablePairs,ties
fixed,center_mean,0.006667,-0.016667,0.033333,0.625,3,2,15
fixed,constant_average_block,0.008929,-0.019643,0.0375,0.625,3,2,15
fixed,copy_move,0.006667,-0.016667,0.029,0.625,3,2,15
fixed,inter_block_substitution,0.013333,-0.027,0.053,0.625,3,2,15
random,center_mean,0.014747,0.0,0.031,0.25,3,0,17
random,constant_average_block,0.018452,0.0,0.04,0.25,3,0,17
random,copy_move,0.014747,0.0,0.031,0.25,3,0,17
random,inter_block_substitution,0.024762,0.0,0.055,0.25,3,0,17
smallest,center_mean,0.03697,0.017,0.061,0.016,7,0,13
smallest,constant_average_block,0.047024,0.021,0.077,0.016,7,0,13
smallest,copy_move,0.03697,0.017,0.061,0.016,7,0,13
smallest,inter_block_substitution,0.064762,0.03,0.11,0.016,7,0,13
identity_cost,center_mean,0.016667,-0.008,0.043,0.25,3,1,16
identity_cost,constant_average_block,0.021429,-0.009,0.055,0.25,3,1,16
identity_cost,copy_move,0.016667,-0.007,0.043,0.25,3,1,16
identity_cost,inter_block_substitution,0.03,-0.007,0.077,0.25,3,1,16
