record_id,dataset,subcorpus,source_split,source_dataset_url,source_version,source_citation,source_reuse_statement,source_image_id,source_file_name,width,height,derived_artifact_id,derived_sha256,license_id,license_name,license_url,coco_url,provenance_status,redistribution_policy
dtd_textures:9eabc918832f76a8.png,DTD textures,dtd_textures,test_final,https://www.robots.ox.ac.uk/~vgg/data/dtd/,dtd-r1.0.1,"M. Cimpoi, S. Maji, I. Kokkinos, S. Mohamed, A. Vedaldi, ""Describing Textures in the Wild,"" CVPR, 2014.",made available to the computer vision community for research purposes,bumpy/bumpy_0167.jpg,,512,508,9eabc918832f76a8.png,46a6ee465d0ef13378a79e97b2602d7d492a7af229aab340c7fda78b64565c70,,,,,identity-citation-and-reuse-statement-pinned,"publish source identifiers, hashes and aggregate results; obtain image pixels from official DTD sources"
dtd_textures:53d5690b03f81919.png,DTD textures,dtd_textures,test_final,https://www.robots.ox.ac.uk/~vgg/data/dtd/,dtd-r1.0.1,"M. Cimpoi, S. Maji, I. Kokkinos, S. Mohamed, A. Vedaldi, ""Describing Textures in the Wild,"" CVPR, 2014.",made available to the computer vision community for research purposes,chequered/chequered_0170.jpg,,503,512,53d5690b03f81919.png,a91bc09ca6230b5636ee4324091fbc958c265e10a84aa1a3f337e77116e7d01c,,,,,identity-citation-and-reuse-statement-pinned,"publish source identifiers, hashes and aggregate results; obtain image pixels from official DTD sources"
dtd_textures:10203a18a347e93a.png,DTD textures,dtd_textures,test_final,https://www.robots.ox.ac.uk/~vgg/data/dtd/,dtd-r1.0.1,"M. Cimpoi, S. Maji, I. Kokkinos, S. Mohamed, A. Vedaldi, ""Describing Textures in the Wild,"" CVPR, 2014.",made available to the computer vision community for research purposes,cobwebbed/cobwebbed_0066.jpg,,512,512,10203a18a347e93a.png,c0c25caf6b4135ec584d19879a2c623d33577f78df6d8b92c9bca6181d1e484f,,,,,identity-citation-and-reuse-statement-pinned,"publish source identifiers, hashes and aggregate results; obtain image pixels from official DTD sources"
dtd_textures:2a33493b75eb7e66.png,DTD textures,dtd_textures,test_final,https://www.robots.ox.ac.uk/~vgg/data/dtd/,dtd-r1.0.1,"M. Cimpoi, S. Maji, I. Kokkinos, S. Mohamed, A. Vedaldi, ""Describing Textures in the Wild,"" CVPR, 2014.",made available to the computer vision community for research purposes,cracked/cracked_0158.jpg,,512,384,2a33493b75eb7e66.png,dcf411a33b48ceea799493f9733cb3854f7a60827ff6f1c014c8dfd62d801aa5,,,,,identity-citation-and-reuse-statement-pinned,"publish source identifiers, hashes and aggregate results; obtain image pixels from official DTD sources"
dtd_textures:29be12259b0e68d9.png,DTD textures,dtd_textures,test_final,https://www.robots.ox.ac.uk/~vgg/data/dtd/,dtd-r1.0.1,"M. Cimpoi, S. Maji, I. Kokkinos, S. Mohamed, A. Vedaldi, ""Describing Textures in the Wild,"" CVPR, 2014.",made available to the computer vision community for research purposes,flecked/flecked_0164.jpg,,363,359,29be12259b0e68d9.png,996d1da9a7f00fad22e43b01951d303a7c2b9d0bfcf75261bce7f9b0a2ec746a,,,,,identity-citation-and-reuse-statement-pinned,"publish source identifiers, hashes and aggregate results; obtain image pixels from official DTD sources"
dtd_textures:002b0fb95eb119d2.png,DTD textures,dtd_textures,test_final,https://www.robots.ox.ac.uk/~vgg/data/dtd/,dtd-r1.0.1,"M. Cimpoi, S. Maji, I. Kokkinos, S. Mohamed, A. Vedaldi, ""Describing Textures in the Wild,"" CVPR, 2014.",made available to the computer vision community for research purposes,freckled/freckled_0166.jpg,,351,322,002b0fb95eb119d2.png,8e9684ebab8e0dbe34f0e0558354ce9fc2c883889b9bbe9a61de0bb9490ba0e9,,,,,identity-citation-and-reuse-statement-pinned,"publish source identifiers, hashes and aggregate results; obtain image pixels from official DTD sources"
dtd_textures:7c868d93a391b37e.png,DTD textures,dtd_textures,test_final,https://www.robots.ox.ac.uk/~vgg/data/dtd/,dtd-r1.0.1,"M. Cimpoi, S. Maji, I. Kokkinos, S. Mohamed, A. Vedaldi, ""Describing Textures in the Wild,"" CVPR, 2014.",made available to the computer vision community for research purposes,grid/grid_0101.jpg,,512,452,7c868d93a391b37e.png,4e50a378bba4d46fa359901f5f1a328ce9cb9ac104a732d613f5815fffde14ef,,,,,identity-citation-and-reuse-statement-pinned,"publish source identifiers, hashes and aggregate results; obtain image pixels from official DTD sources"
dtd_textures:48d01d5ef3744bd6.png,DTD textures,dtd_textures,test_final,https://www.robots.ox.ac.uk/~vgg/data/dtd/,dtd-r1.0.1,"M. Cimpoi, S. Maji, I. Kokkinos, S. Mohamed, A. Vedaldi, ""Describing Textures in the Wild,"" CVPR, 2014.",made available to the computer vision community for research purposes,interlaced/interlaced_0113.jpg,,341,349,48d01d5ef3744bd6.png,67e227fd0822e7d92239bb5f3da5ce543ff7d4339a2e63b38529fce494cb194b,,,,,identity-citation-and-reuse-statement-pinned,"publish source identifiers, hashes and aggregate results; obtain image pixels from official DTD sources"
dtd_textures:5e79887bb39e716a.png,DTD textures,dtd_textures,test_final,https://www.robots.ox.ac.uk/~vgg/data/dtd/,dtd-r1.0.1,"M. Cimpoi, S. Maji, I. Kokkinos, S. Mohamed, A. Vedaldi, ""Describing Textures in the Wild,"" CVPR, 2014.",made available to the computer vision community for research purposes,knitted/knitted_0130.jpg,,398,512,5e79887bb39e716a.png,7c7e216620a3b4c54abf38a94869f84dfe6d00279fe0d7226eb3cb35fde7aa34,,,,,identity-citation-and-reuse-statement-pinned,"publish source identifiers, hashes and aggregate results; obtain image pixels from official DTD sources"
dtd_textures:4d87c0a119fa27e3.png,DTD textures,dtd_textures,test_final,https://www.robots.ox.ac.uk/~vgg/data/dtd/,dtd-r1.0.1,"M. Cimpoi, S. Maji, I. Kokkinos, S. Mohamed, A. Vedaldi, ""Describing Textures in the Wild,"" CVPR, 2014.",made available to the computer vision community for research purposes,meshed/meshed_0129.jpg,,503,512,4d87c0a119fa27e3.png,a70df106ea2348eb42d2c7890e881922c4a1eb028e8cd89dac3501b05cbd6f1f,,,,,identity-citation-and-reuse-statement-pinned,"publish source identifiers, hashes and aggregate results; obtain image pixels from official DTD sources"
